source,target,weight,avg_streams,hyperbolic_distance
alternative r&b,rap,8,19653451.25,2.441843271255493
latin hip hop,pop,8,66238854.16666666,6.559924125671387
dirty south rap,pop,8,28761516.875,6.311506748199463
pop,progressive house,8,83021602.83333333,4.690971374511719
funk carioca,pop nacional,8,31064444.0,3.9998252391815186
gangster rap,pop,8,41338415.85714286,6.8943281173706055
latin pop,pop,8,64901761.33333334,1.9876967668533325
pop,reggaeton flow,8,57611782.4,6.448336124420166
dance pop,pop edm,8,64071501.0,4.474834442138672
edm,pop edm,8,64071501.0,0.9729400277137756
pop edm,tropical house,8,64071501.0,2.0185868740081787
pop,pop edm,8,75652010.66666667,4.156315803527832
panamanian pop,r&b en espanol,7,103782961.0,4.999948501586914
reggaeton,trap,7,93988654.66666669,4.179756164550781
canadian pop,electropop,7,84570187.75,1.1515694856643677
canadian pop,tropical house,7,103784964.75,1.9122565984725952
dance pop,disco house,7,15226280.25,4.695077896118164
dance pop,filter house,7,15226280.25,2.6151845455169678
dance pop,vocal house,7,15226280.25,4.71766996383667
disco house,pop,7,15226280.25,6.321762561798096
filter house,pop,7,15226280.25,2.646350383758545
pop,vocal house,7,15226280.25,6.344010353088379
r&b en espanol,reggaeton flow,7,102051076.0,4.740644454956055
electronic trap,pop,7,115024401.75,4.1088151931762695
big room,swedish pop,7,17460690.5,4.006402492523193
electronic trap,trap,7,96777995.0,6.925065517425537
emo rap,melodic rap,7,99079359.0,7.6437225341796875
gangster rap,hip hop,7,106728975.85714284,0.17095504701137543
atl trap,southern hip hop,7,27011174.0,4.054049491882324
atl hip hop,dfw rap,7,168894725.85714287,1.4801957607269287
melodic rap,philly rap,7,14199597.857142854,3.945394277572632
dfw rap,southern hip hop,7,56597494.85714286,2.6950695514678955
electro house,uk pop,7,100041380.57142857,5.007591247558594
dfw rap,pop,7,52220169.85714286,6.932620048522949
colombian pop,trap latino,7,104834815.5,2.397047519683838
rap latina,trap argentino,7,97441723.4,3.2998111248016357
conscious hip hop,melodic rap,7,78805564.14285715,4.644807815551758
queens hip hop,trap,7,21268058.83333333,3.2376699447631836
reggaeton flow,trap,7,63734858.8,3.8356285095214844
trap,trap latino,7,63734858.8,4.058088302612305
pop,trap soul,7,39262282.8,7.04254674911499
pop rap,trap soul,7,41836168.25,4.099787712097168
post-teen pop,tropical,7,85537810.0,6.129733085632324
country road,pop,7,62875067.16666666,3.717757225036621
latin viral pop,reggaeton,7,53183008.66666666,4.7728071212768555
miami hip hop,pop,7,32124897.71428572,6.180301666259766
italian hip hop,rap napoletano,7,7659438.5,1.737099528312683
funk carioca,reggaeton,7,26373429.66666667,0.5786129236221313
funk carioca,funk das antigas,7,19217106.0,2.135164260864258
dance pop,progressive electro house,7,55439700.5,4.713003158569336
dance pop,latin pop,7,64901761.33333334,1.107227087020874
pop,queens hip hop,7,32921274.2,7.330262660980225
contemporary country,dance pop,7,57413498.83333334,3.737513542175293
edm,tropical,7,66335206.0,7.292656898498535
boy band,electropop,6,48402879.83333334,1.3115317821502686
boy band,pop,6,48402879.83333334,0.11528632789850235
electropop,melodic dubstep,6,67178082.66666667,4.41073751449585
melodic dubstep,pop,6,67178082.66666667,4.918913841247559
big room,post-teen pop,6,37785280.66666666,4.691962242126465
disco house,uk dance,6,18573019.666666668,6.261191368103027
filter house,uk dance,6,18573019.666666668,1.3018503189086914
uk dance,vocal house,6,18573019.666666668,6.283193111419678
dmv rap,hip hop,6,27553537.83333333,5.066871166229248
dmv rap,rap,6,27553537.83333333,4.217231273651123
bmore,post-teen pop,6,69667117.16666667,4.94266939163208
moombahton,post-teen pop,6,69667117.16666667,4.17568826675415
post-teen pop,trap latino,6,109051774.66666669,6.691624641418457
dance pop,puerto rican pop,6,151890445.0,1.8478281497955322
latin hip hop,trap argentino,6,67947261.5,4.6168317794799805
country,pop rap,6,280187925.3333333,4.097544193267822
philly rap,trap,6,15708345.5,2.1411030292510986
dfw rap,hip hop,6,74978282.33333333,3.573596239089966
cali rap,southern hip hop,6,57792000.2,1.5193448066711426
pop,viral pop,6,253577394.16666663,0.6119779944419861
pop reggaeton,trap latino,6,212334583.8,1.0088896751403809
latin pop,trap argentino,6,109211027.25,5.01352596282959
rap latina,reggaeton flow,6,116371962.75,1.801827073097229
atl hip hop,atl trap,6,18910171.6,2.99239444732666
atl trap,underground hip hop,6,6090404.0,2.8714921474456787
canadian contemporary r&b,pop,6,74617895.8,2.2252933979034424
canadian contemporary r&b,rap,6,14697600.25,4.057684898376465
dancehall,pop,6,19021904.166666668,6.486176490783691
nigerian hip hop,pop,6,23312695.0,6.034850120544434
nigerian pop,pop,6,23312695.0,5.67639684677124
italian underground hip hop,trap italiana,6,7977814.5,2.8946001529693604
k-pop,pop,6,75243930.66666667,0.05240184813737869
k-pop,post-teen pop,6,60449255.0,0.02923065796494484
emo,pop,6,116764176.75,5.874594211578369
trap,uk pop,6,92382974.8,6.671063423156738
modern rock,pop rap,6,50315719.33333334,5.4046478271484375
dance pop,neo soul,6,79529553.5,2.3045825958251953
neo soul,pop,6,79529553.5,3.657780408859253
pop,uk contemporary r&b,6,10902657.75,1.1434849500656128
uk dance,uk pop,6,104304708.5,4.135476112365723
electropop,trap,6,89238583.5,5.966034889221191
r&b,southern hip hop,6,28443577.5,2.1631007194519043
southern hip hop,urban contemporary,6,28443577.5,2.7576663494110107
